time(second),IR,RED,,,,,,,,,
0,217148,232113,,,,,,,,,
0.02,217113,232098,,,,,,,,,
0.04,217115,232185,,,,,,,,,
0.06,217176,232221,,,,,,,,,
0.08,217163,232264,,,,,,,,,
0.1,217100,232142,,,,,,,,,
0.12,217129,231967,,,,,,,,,
0.14,217054,231750,,,,,,,,,
0.16,216911,231440,,,,,,,,,
0.18,216887,231262,,,,,,,,,
0.2,216798,231049,,,,,,,,,
0.22,216691,230883,,,,,,,,,
0.24,216688,230678,,,,,,,,,
0.26,216706,230543,,,,,,,,,
0.28,216550,230409,,,,,,,,,
0.3,216551,230266,,,,,,,,,
0.32,216593,230181,,,,,,,,,
0.34,216528,230154,,,,,,,,,
0.36,216620,230172,,,,,,,,,
0.38,216554,230176,,,,,,,,,
0.4,216644,230166,,,,,,,,,
0.42,216569,230142,,,,,,,,,
0.44,216667,230159,,,,,,,,,
0.46,216575,230147,,,,,,,,,
0.48,216681,230116,,,,,,,,,
0.5,216580,230153,,,,,,,,,
0.52,216748,230184,,,,,,,,,
0.54,216583,230238,,,,,,,,,
0.56,216733,230223,,,,,,,,,
0.58,216619,230212,,,,,,,,,
0.6,216704,230280,,,,,,,,,
0.62,216598,230368,,,,,,,,,
0.64,216727,230384,,,,,,,,,
0.66,216769,230410,,,,,,,,,
0.68,216705,230475,,,,,,,,,
0.7,216852,230499,,,,,,,,,
0.72,216758,230558,,,,,,,,,
0.74,216781,230687,,,,,,,,,
0.76,216941,230641,,,,,,,,,
0.78,216772,230686,,,,,,,,,
0.8,216864,230740,,,,,,,,,
0.82,217015,230767,,,,,,,,,
0.84,216866,230845,,,,,,,,,
0.86,216905,230981,,,,,,,,,
0.88,217078,230917,,,,,,,,,
0.9,216921,230996,,,,,,,,,
0.92,216950,231033,,,,,,,,,
0.94,217132,231075,,,,,,,,,
0.96,217018,231146,,,,,,,,,
0.98,217009,231293,,,,,,,,,
1,217194,231169,,,,,,,,,
1.02,217070,231300,,,,,,,,,
1.04,217077,231459,,,,,,,,,
1.06,217244,231344,,,,,,,,,
1.08,217160,231393,,,,,,,,,
1.1,217088,231373,,,,,,,,,
1.12,217190,230977,,,,,,,,,
1.14,216949,230756,,,,,,,,,
1.16,216847,230562,,,,,,,,,
1.18,216906,230243,,,,,,,,,
1.2,216692,230035,,,,,,,,,
1.22,216617,229903,,,,,,,,,
1.24,216723,229625,,,,,,,,,
1.26,216567,229493,,,,,,,,,
1.28,216470,229460,,,,,,,,,
1.3,216619,229189,,,,,,,,,
1.32,216411,229190,,,,,,,,,
1.34,216489,229139,,,,,,,,,
1.36,216434,229163,,,,,,,,,
1.38,216505,229126,,,,,,,,,
1.4,216468,229217,,,,,,,,,
1.42,216513,229177,,,,,,,,,
1.44,216468,229188,,,,,,,,,
1.46,216533,229153,,,,,,,,,
1.48,216480,229200,,,,,,,,,
1.5,216552,229224,,,,,,,,,
1.52,216519,229241,,,,,,,,,
1.54,216566,229253,,,,,,,,,
1.56,216669,229268,,,,,,,,,
1.58,216511,229437,,,,,,,,,
1.6,216754,229378,,,,,,,,,
1.62,216605,229425,,,,,,,,,
1.64,216694,229428,,,,,,,,,
1.66,216626,229538,,,,,,,,,
1.68,216695,229547,,,,,,,,,
1.7,216838,229652,,,,,,,,,
1.72,216692,229661,,,,,,,,,
1.74,216800,229739,,,,,,,,,
