timestamps,X,Y,Z,activities
0,-0.087071,-0.047038,0.473385,2
0.0468,-0.126102,-0.075061,0.862701,2
0.0936,-0.156127,-0.090073,0.932758,2
0.1404,-0.163133,-0.088072,0.955777,2
0.1872,-0.166135,-0.087071,0.981798,2
0.234,-0.16013,-0.087071,0.974792,2
0.2808,-0.173141,-0.089072,0.957778,2
0.3276,-0.16013,-0.087071,0.981798,2
0.3744,-0.162132,-0.088072,0.988803,2
0.4212,-0.173141,-0.093076,0.974792,2
0.468,-0.164133,-0.094076,0.967786,2
0.5148,-0.175142,-0.093076,0.951773,2
0.5616,-0.16013,-0.091074,0.95978,2
0.6084,-0.167136,-0.089072,0.950773,2
0.6552,-0.176143,-0.091074,0.952774,2
0.702,-0.17214,-0.092075,0.95978,2
0.7488,-0.167136,-0.084068,0.967786,2
0.7956,-0.165134,-0.08607,0.9848,2
0.8424,-0.159129,-0.091074,0.95978,2
0.8892,-0.174141,-0.095077,0.967786,2
0.936,-0.165134,-0.087071,0.962782,2
0.9828,-0.171139,-0.083067,0.965785,2
1.0296,-0.169137,-0.084068,0.983799,2
1.0764,-0.180146,-0.093076,0.962782,2
1.1232,-0.17214,-0.088072,0.979796,2
1.17,-0.174141,-0.088072,0.95978,2
1.2168,-0.166135,-0.097079,0.949772,2
1.2636,-0.154125,-0.084068,0.9848,2
1.3104,-0.164133,-0.093076,0.97179,2
1.3572,-0.159129,-0.095077,0.970789,2
1.404,-0.169137,-0.091074,0.963783,2
1.4508,-0.161131,-0.088072,0.964784,2
1.4976,-0.16013,-0.089072,0.952774,2
1.5444,-0.17214,-0.087071,0.97179,2
1.5912,-0.17214,-0.089072,0.956777,2
1.638,-0.167136,-0.090073,0.9848,2
1.6848,-0.168137,-0.090073,0.97179,2
1.7316,-0.155126,-0.091074,0.965785,2
1.7784,-0.163133,-0.088072,0.950773,2
1.8252,-0.166135,-0.083067,0.964784,2
1.872,-0.170138,-0.090073,0.963783,2
1.9188,-0.171139,-0.092075,0.964784,2
1.9656,-0.173141,-0.08607,0.966785,2
2.0124,-0.175142,-0.092075,0.97279,2
2.0592,-0.163133,-0.090073,0.968787,2
2.106,-0.154125,-0.082067,0.97179,2
2.1528,-0.150122,-0.082067,0.970789,2
2.1996,-0.155126,-0.089072,0.97179,2
2.2464,-0.155126,-0.085069,0.995809,2
2.2932,-0.17214,-0.096078,0.969788,2
2.34,-0.164133,-0.089072,0.967786,2
2.3868,-0.161131,-0.091074,0.983799,2
2.4336,-0.171139,-0.091074,0.954776,2
2.4804,-0.175142,-0.096078,0.952774,2
2.5272,-0.189154,-0.096078,0.940764,2
2.574,-0.175142,-0.087071,0.966785,2
2.6208,-0.17214,-0.095077,0.94777,2
2.6676,-0.157128,-0.093076,0.966785,2
2.7144,-0.175142,-0.094076,0.951773,2
2.7612,-0.17214,-0.090073,0.975793,2
2.808,-0.167136,-0.089072,0.95978,2
2.8548,-0.162132,-0.088072,0.966785,2
2.9016,-0.165134,-0.091074,0.962782,2
2.9484,-0.183149,-0.088072,0.933759,2
2.9952,-0.181147,-0.087071,0.948771,2
3.042,-0.180146,-0.089072,0.960781,2
3.0888,-0.173141,-0.096078,0.963783,2
3.1356,-0.163133,-0.091074,0.963783,2
3.1824,-0.163133,-0.089072,0.973791,2
3.2292,-0.170138,-0.092075,0.965785,2
3.276,-0.169137,-0.087071,0.965785,2
3.3228,-0.169137,-0.08607,0.968787,2
3.3696,-0.17214,-0.091074,0.951773,2
3.4164,-0.186151,-0.096078,0.938763,2
3.4632,-0.169137,-0.088072,0.995809,2
3.51,-0.18515,-0.096078,1.000813,2
3.5568,-0.195159,-0.096078,0.968787,2
3.6036,-0.177144,-0.092075,0.942766,2
3.6504,-0.175142,-0.090073,0.951773,2
3.6972,-0.170138,-0.084068,0.982799,2
3.744,-0.167136,-0.091074,0.958779,2
3.7908,-0.173141,-0.092075,0.939764,2
3.8376,-0.17214,-0.097079,0.956777,2
3.8844,-0.181147,-0.093076,0.949772,2
3.9312,-0.17214,-0.090073,0.944768,2
3.978,-0.166135,-0.084068,0.957778,2
4.0248,-0.170138,-0.090073,0.958779,2
4.0716,-0.17214,-0.090073,0.954776,2
4.1184,-0.162132,-0.088072,0.965785,2
4.1652,-0.158128,-0.090073,0.964784,2
4.212,-0.163133,-0.088072,0.961781,2
4.2588,-0.167136,-0.088072,0.963783,2
4.3056,-0.169137,-0.08607,0.967786,2
4.3524,-0.164133,-0.090073,0.957778,2
4.3992,-0.158128,-0.088072,0.97179,2
4.446,-0.171139,-0.095077,0.951773,2
4.4928,-0.161131,-0.084068,0.97279,2
4.5396,-0.167136,-0.094076,0.960781,2
4.5864,-0.166135,-0.091074,0.95978,2
4.6332,-0.163133,-0.090073,0.965785,2
4.68,-0.169137,-0.085069,0.962782,2
4.7268,-0.139113,-0.082067,1.007819,2
4.7736,-0.16013,-0.088072,0.968787,2
4.8204,-0.162132,-0.091074,0.962782,2
4.8672,-0.166135,-0.092075,0.960781,2
4.914,-0.177144,-0.088072,0.94777,2
4.9608,-0.183149,-0.090073,0.951773,2
5.0076,-0.158128,-0.090073,0.962782,2
5.0544,-0.161131,-0.088072,0.987803,2
5.1012,-0.179146,-0.090073,0.956777,2
5.148,-0.171139,-0.089072,0.961781,2
5.1948,-0.166135,-0.091074,0.961781,2
5.2416,-0.164133,-0.085069,0.970789,2
5.2884,-0.173141,-0.089072,0.946769,2
5.3352,-0.166135,-0.095077,0.964784,2
5.382,-0.173141,-0.090073,0.966785,2
5.4288,-0.165134,-0.088072,0.973791,2
5.4756,-0.171139,-0.094076,0.95978,2
5.5224,-0.163133,-0.094076,0.964784,2
5.5692,-0.173141,-0.094076,0.953775,2
5.616,-0.174141,-0.092075,0.963783,2
5.6628,-0.173141,-0.090073,0.939764,2
5.7096,-0.176143,-0.095077,0.93576,2
5.7564,-0.174141,-0.097079,0.950773,2
5.8032,-0.174141,-0.089072,0.985801,2
5.85,-0.180146,-0.087071,0.969788,2
5.8968,-0.170138,-0.084068,0.967786,2
5.9436,-0.177144,-0.093076,0.944768,2
5.9904,-0.170138,-0.092075,0.941765,2
6.0372,-0.178145,-0.092075,0.931757,2
6.084,-0.167136,-0.089072,0.961781,2
