"Time stamp",X,Y,Z,"Activity ",X,Y,Z,"Activity ",X,Y,Z,"Activity ",X,Y,Z,"Activity ",X,Y,Z,"Activity "
0,-1.44,6.97,6.67,1,-5.46,7.24,3.51,2,4.88,-5.13,1.77,3,8.64,-12.19,4.34,4,14.13,-1.27,7.43,5
0.02,-1.5,6.9,6.62,1,-5.52,7.34,3.48,2,5.12,-5.03,1.83,3,11.32,-12.78,7.61,4,19.61,1.19,7.88,5
0.04,-1.5,6.9,6.61,1,-5.42,7.3,3.73,2,5.34,-5.38,2.15,3,9.85,-11.01,9.9,4,18.61,-2.27,9.45,5
0.06,-1.5,6.77,6.84,1,-5.43,7.4,3.4,2,5.95,-5.3,2.32,3,7.23,-11.42,8.59,4,12.25,-3.78,8.55,5
0.08,-1.47,7.11,6.91,1,-5.43,7.36,3.39,2,6.52,-5.22,2.6,3,5.44,-10.62,4.74,4,8.67,-2.3,5.67,5
0.1,-1.49,6.9,6.78,1,-5.46,7.32,3.51,2,6.91,-5.38,2.87,3,2.99,-8.12,1.72,4,5.49,-2.39,5.43,5
0.12000000000000001,-1.45,6.91,6.63,1,-5.47,7.33,3.52,2,6.75,-5.59,3.41,3,1.9,-5.24,0.59,4,3.34,-2.16,5.83,5
0.14,-1.61,6.91,6.7,1,-5.44,7.22,3.71,2,6.66,-6.29,3.97,3,1.9,-2.92,1.13,4,0,-1.55,3.38,5
0.16,-1.57,6.97,6.56,1,-5.45,7.43,3.5,2,7.31,-7.51,4.21,3,2.46,-1.51,0.81,4,-2.54,-3.4,-0.12,5
0.18,-1.58,6.86,6.66,1,-5.4,7.32,3.5,2,7.68,-8.71,4.19,3,3.33,-0.91,0,4,-2.04,-7.18,-1.47,5
0.19999999999999998,-1.63,6.72,6.72,1,-5.34,7.26,3.5,2,8.1,-9.22,3.92,3,4.54,-1.55,-0.5,4,0.48,-9.18,-0.61,5
