timestamps,IR,RED
0,82987,101858
0.0468,125275,101873
0.0936,125318,101929
0.1404,125464,102005
0.1872,125646,102082
0.234,125732,102103
0.2808,125862,102053
0.3276,125929,102160
0.3744,125981,102169
0.4212,125742,101906
0.468,124871,101751
0.5148,125015,101821
0.5616,125060,101815
0.6084,125222,101821
0.6552,125155,101859
0.702,125220,101897
0.7488,125261,101825
0.7956,125303,101904
0.8424,125566,101951
0.8892,125610,102065
0.936,125980,102198
0.9828,126084,102202
1.0296,125994,101976
1.0764,125179,101712
1.1232,124829,101682
1.17,124879,101739
1.2168,124997,101803
1.2636,125136,101813
1.3104,125157,101868
1.3572,125209,101865
1.404,125268,101919
1.4508,125345,101940
1.4976,125528,101996
1.5444,125667,102042
1.5912,125771,102115
1.638,125848,102162
1.6848,125971,102145
1.7316,125941,102049
1.7784,125252,101796
1.8252,124802,101646
1.872,124953,101755
1.9188,125007,101862
1.9656,125229,101791
2.0124,125262,101785
2.0592,125229,101777
2.106,125230,101847
2.1528,125297,101945
2.1996,125447,102009
2.2464,125592,102016
2.2932,125697,102120
2.34,125888,101973
2.3868,125072,101699
2.4336,124699,101560
2.4804,124731,101603
2.5272,124879,101689
2.574,124948,101752
2.6208,125089,101776
2.6676,125129,101819
2.7144,125137,101839
2.7612,125129,101789
2.808,125583,102064
2.8548,125764,102062
2.9016,125873,102116
2.9484,126042,102177
2.9952,126168,102158
3.042,125691,101827
3.0888,124783,101600
3.1356,124569,101570
3.1824,124747,101638
3.2292,124838,101723
3.276,125151,101858
3.3228,125160,101744
3.3696,125134,101775
3.4164,125204,101835
3.4632,125320,101966
3.51,125521,102037
3.5568,125708,102050
3.6036,125793,102124
3.6504,125950,102194
3.6972,126111,102081
3.744,124590,101624
3.7908,124687,101721
3.8376,124852,101802
3.8844,124980,101844
3.9312,125149,101910
3.978,125225,101851
4.0248,125172,101826
4.0716,125170,101818
4.1184,125214,101924
4.1652,125372,101992
4.212,125900,102155
4.2588,126129,102188
4.3056,126168,102075
4.3524,125231,101699
4.3992,124578,101607
4.446,124566,101662
4.4928,124759,101733
4.5396,124882,101800
4.5864,125057,101864
4.6332,125133,101855
4.68,125161,101867
4.7268,125291,101906
4.7736,125481,102050
4.8204,125646,102071
4.8672,125828,102158
4.914,125979,102180
4.9608,126038,102058
5.0076,125190,101693
5.0544,124532,101597
5.1012,124542,101686
5.148,124991,101806
5.1948,125188,101859
5.2416,125129,101847
5.2884,125101,101840
5.3352,125141,101810
5.382,125264,101899
5.4288,125411,101984
5.4756,125549,102066
5.5224,125733,102146
5.5692,125997,102145
5.616,124679,101590
5.6628,124442,101626
5.7096,124681,101721
5.7564,124947,101762
5.8032,125130,101821
5.85,125180,101889
5.8968,125137,101855
5.9436,125115,101825
5.9904,125155,101887
6.0372,125325,101980
6.084,125934,102206
6.1308,126118,102226
6.1776,126318,102228
6.2244,125449,101751
6.2712,124647,101593
6.318,124551,101643
6.3648,124745,101775
6.4116,124983,101854
6.4584,125186,101919
6.5052,125238,101901
6.552,125150,101887
6.5988,125257,101911
6.6456,125467,102011
6.6924,125618,102102
6.7392,125829,102184
6.786,126034,102257
6.8328,126074,102047
6.8796,125102,101641
6.9264,124431,101580
6.9732,124477,101577
7.02,124909,101808
7.0668,125044,101854
7.1136,125054,101738
7.1604,125009,101766
7.2072,124986,101789
7.254,125065,101919
7.3008,125338,101954
7.3476,125485,102056
7.3944,125708,102072
7.4412,125848,102089
7.488,124244,101522
7.5348,124435,101546
7.5816,124541,101634
7.6284,124766,101702
7.6752,124821,101771
7.722,124888,101759
7.7688,124827,101663
7.8156,124844,101721
7.8624,124866,101796
7.9092,125073,101870
7.956,125621,102027
8.0028,125634,101847
8.0496,124598,101526
8.0964,124162,101467
8.1432,124184,101486
8.19,124388,101559
8.2368,124536,101563
8.2836,124677,101619
8.3304,124692,101664
8.3772,124597,101604
8.424,124752,101778
8.4708,124931,101778
8.5176,125127,101791
8.5644,125185,101879
8.6112,125345,101939
8.658,125419,101944
8.7048,124938,101610
8.7516,124159,101379
8.7984,124008,101372
8.8452,124123,101496
8.892,124455,101607
8.9388,124488,101571
8.9856,124425,101541
9.0324,124424,101604
