timestamps,X,Y,Z,IR,RED
0,-0.087071,-0.047038,0.473385,82987,101858
0.0468,-0.126102,-0.075061,0.862701,125275,101873
0.0936,-0.156127,-0.090073,0.932758,125318,101929
0.1404,-0.163133,-0.088072,0.955777,125464,102005
0.1872,-0.166135,-0.087071,0.981798,125646,102082
0.234,-0.16013,-0.087071,0.974792,125732,102103
0.2808,-0.173141,-0.089072,0.957778,125862,102053
0.3276,-0.16013,-0.087071,0.981798,125929,102160
0.3744,-0.162132,-0.088072,0.988803,125981,102169
0.4212,-0.173141,-0.093076,0.974792,125742,101906
0.468,-0.164133,-0.094076,0.967786,124871,101751
0.5148,-0.175142,-0.093076,0.951773,125015,101821
0.5616,-0.16013,-0.091074,0.95978,125060,101815
0.6084,-0.167136,-0.089072,0.950773,125222,101821
0.6552,-0.176143,-0.091074,0.952774,125155,101859
0.702,-0.17214,-0.092075,0.95978,125220,101897
0.7488,-0.167136,-0.084068,0.967786,125261,101825
0.7956,-0.165134,-0.08607,0.9848,125303,101904
0.8424,-0.159129,-0.091074,0.95978,125566,101951
0.8892,-0.174141,-0.095077,0.967786,125610,102065
0.936,-0.165134,-0.087071,0.962782,125980,102198
0.9828,-0.171139,-0.083067,0.965785,126084,102202
1.0296,-0.169137,-0.084068,0.983799,125994,101976
1.0764,-0.180146,-0.093076,0.962782,125179,101712
1.1232,-0.17214,-0.088072,0.979796,124829,101682
1.17,-0.174141,-0.088072,0.95978,124879,101739
1.2168,-0.166135,-0.097079,0.949772,124997,101803
1.2636,-0.154125,-0.084068,0.9848,125136,101813
1.3104,-0.164133,-0.093076,0.97179,125157,101868
1.3572,-0.159129,-0.095077,0.970789,125209,101865
1.404,-0.169137,-0.091074,0.963783,125268,101919
1.4508,-0.161131,-0.088072,0.964784,125345,101940
1.4976,-0.16013,-0.089072,0.952774,125528,101996
1.5444,-0.17214,-0.087071,0.97179,125667,102042
1.5912,-0.17214,-0.089072,0.956777,125771,102115
1.638,-0.167136,-0.090073,0.9848,125848,102162
1.6848,-0.168137,-0.090073,0.97179,125971,102145
1.7316,-0.155126,-0.091074,0.965785,125941,102049
1.7784,-0.163133,-0.088072,0.950773,125252,101796
1.8252,-0.166135,-0.083067,0.964784,124802,101646
1.872,-0.170138,-0.090073,0.963783,124953,101755
1.9188,-0.171139,-0.092075,0.964784,125007,101862
1.9656,-0.173141,-0.08607,0.966785,125229,101791
2.0124,-0.175142,-0.092075,0.97279,125262,101785
2.0592,-0.163133,-0.090073,0.968787,125229,101777
2.106,-0.154125,-0.082067,0.97179,125230,101847
2.1528,-0.150122,-0.082067,0.970789,125297,101945
2.1996,-0.155126,-0.089072,0.97179,125447,102009
2.2464,-0.155126,-0.085069,0.995809,125592,102016
2.2932,-0.17214,-0.096078,0.969788,125697,102120
2.34,-0.164133,-0.089072,0.967786,125888,101973
